
2024/02/24 (16:20:17) | ===> btop++ v.1.3.2
2024/02/24 (16:20:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (16:47:28) | ===> btop++ v.1.3.2
2024/02/24 (16:47:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (16:47:28) | ===> btop++ v.1.3.2
2024/02/24 (16:47:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (17:03:04) | ===> btop++ v.1.3.2
2024/02/24 (17:03:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (17:29:53) | ===> btop++ v.1.3.2
2024/02/24 (17:29:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (17:29:55) | ===> btop++ v.1.3.2
2024/02/24 (17:29:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (17:32:10) | ===> btop++ v.1.3.2
2024/02/24 (17:32:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (17:52:53) | ===> btop++ v.1.3.2
2024/02/24 (17:52:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (20:54:57) | ===> btop++ v.1.3.2
2024/02/24 (20:54:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (20:55:16) | ===> btop++ v.1.3.2
2024/02/24 (20:55:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (20:56:12) | ===> btop++ v.1.3.2
2024/02/24 (20:56:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/24 (21:07:42) | ===> btop++ v.1.3.2
2024/02/24 (21:07:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (01:22:32) | ===> btop++ v.1.3.2
2024/02/25 (01:22:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (02:20:37) | ===> btop++ v.1.3.2
2024/02/25 (02:20:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (02:20:44) | ===> btop++ v.1.3.2
2024/02/25 (02:20:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (02:24:20) | ===> btop++ v.1.3.2
2024/02/25 (02:24:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (02:26:31) | ===> btop++ v.1.3.2
2024/02/25 (02:26:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (03:03:13) | ===> btop++ v.1.3.2
2024/02/25 (03:03:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (13:47:28) | ===> btop++ v.1.3.2
2024/02/25 (13:47:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (13:55:50) | ===> btop++ v.1.3.2
2024/02/25 (13:55:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (17:37:43) | ===> btop++ v.1.3.2
2024/02/25 (17:37:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/25 (23:37:01) | ===> btop++ v.1.3.2
2024/02/25 (23:37:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (01:20:10) | ===> btop++ v.1.3.2
2024/02/26 (01:20:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (01:20:10) | ===> btop++ v.1.3.2
2024/02/26 (01:20:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (10:14:51) | ===> btop++ v.1.3.2
2024/02/26 (10:14:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (10:23:12) | ===> btop++ v.1.3.2
2024/02/26 (10:23:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (11:20:11) | ===> btop++ v.1.3.2
2024/02/26 (11:20:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (12:00:04) | ===> btop++ v.1.3.2
2024/02/26 (12:00:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (12:02:34) | ===> btop++ v.1.3.2
2024/02/26 (12:02:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/26 (12:22:30) | ===> btop++ v.1.3.2
